Date,Open,High,Low,Close*,Adj. close**,Volume
29/04/1929,25.53,25.53,25.53,25.53,25.53,-
26/04/1929,25.58,25.58,25.58,25.58,25.58,-
25/04/1929,25.63,25.63,25.63,25.63,25.63,-
24/04/1929,25.75,25.75,25.75,25.75,25.75,-
23/04/1929,25.85,25.85,25.85,25.85,25.85,-
22/04/1929,25.7,25.7,25.7,25.7,25.7,-
19/04/1929,25.41,25.41,25.41,25.41,25.41,-
18/04/1929,25.43,25.43,25.43,25.43,25.43,-
17/04/1929,25.32,25.32,25.32,25.32,25.32,-
16/04/1929,25.06,25.06,25.06,25.06,25.06,-
15/04/1929,25,25,25,25,25,-
12/04/1929,25.15,25.15,25.15,25.15,25.15,-
11/04/1929,25.06,25.06,25.06,25.06,25.06,-
10/04/1929,24.78,24.78,24.78,24.78,24.78,-
09/04/1929,24.63,24.63,24.63,24.63,24.63,-
08/04/1929,24.83,24.83,24.83,24.83,24.83,-
05/04/1929,25.05,25.05,25.05,25.05,25.05,-
04/04/1929,25.3,25.3,25.3,25.3,25.3,-
03/04/1929,24.86,24.86,24.86,24.86,24.86,-
02/04/1929,25.17,25.17,25.17,25.17,25.17,-
01/04/1929,24.88,24.88,24.88,24.88,24.88,-
28/03/1929,25.53,25.53,25.53,25.53,25.53,-
27/03/1929,25.09,25.09,25.09,25.09,25.09,-
26/03/1929,24.35,24.35,24.35,24.35,24.35,-
25/03/1929,24.51,24.51,24.51,24.51,24.51,-
22/03/1929,25.55,25.55,25.55,25.55,25.55,-
21/03/1929,25.9,25.9,25.9,25.9,25.9,-
20/03/1929,26.02,26.02,26.02,26.02,26.02,-
19/03/1929,26.03,26.03,26.03,26.03,26.03,-
18/03/1929,26.04,26.04,26.04,26.04,26.04,-
15/03/1929,26.08,26.08,26.08,26.08,26.08,-
14/03/1929,25.73,25.73,25.73,25.73,25.73,-
13/03/1929,25.24,25.24,25.24,25.24,25.24,-
12/03/1929,24.97,24.97,24.97,24.97,24.97,-
11/03/1929,24.95,24.95,24.95,24.95,24.95,-
08/03/1929,25.31,25.31,25.31,25.31,25.31,-
07/03/1929,25.15,25.15,25.15,25.15,25.15,-
06/03/1929,24.92,24.92,24.92,24.92,24.92,-
05/03/1929,25.32,25.32,25.32,25.32,25.32,-
04/03/1929,25.49,25.49,25.49,25.49,25.49,-
01/03/1929,25.83,25.83,25.83,25.83,25.83,-
28/02/1929,25.59,25.59,25.59,25.59,25.59,-
27/02/1929,25.25,25.25,25.25,25.25,25.25,-
26/02/1929,24.95,24.95,24.95,24.95,24.95,-
25/02/1929,24.91,24.91,24.91,24.91,24.91,-
21/02/1929,24.86,24.86,24.86,24.86,24.86,-
20/02/1929,24.59,24.59,24.59,24.59,24.59,-
19/02/1929,24.38,24.38,24.38,24.38,24.38,-
18/02/1929,24.39,24.39,24.39,24.39,24.39,-
15/02/1929,24.35,24.35,24.35,24.35,24.35,-
14/02/1929,24.85,24.85,24.85,24.85,24.85,-
13/02/1929,24.95,24.95,24.95,24.95,24.95,-
11/02/1929,24.98,24.98,24.98,24.98,24.98,-
08/02/1929,24.44,24.44,24.44,24.44,24.44,-
07/02/1929,24.71,24.71,24.71,24.71,24.71,-
06/02/1929,25.49,25.49,25.49,25.49,25.49,-
05/02/1929,25.7,25.7,25.7,25.7,25.7,-
04/02/1929,25.64,25.64,25.64,25.64,25.64,-
