Date,Open,High,Low,Close,Adj Close**,Volume
28/11/1986,248.82,249.22,248.07,249.22,249.22,93530000.00
26/11/1986,248.14,248.9,247.73,248.77,248.77,152000000.00
25/11/1986,247.44,248.18,246.3,248.17,248.17,154600000.00
24/11/1986,245.86,248,245.21,247.45,247.45,150800000.00
21/11/1986,242.03,246.38,241.97,245.86,245.86,200700000.00
20/11/1986,237.66,242.05,237.66,242.05,242.05,158100000.00
19/11/1986,236.77,237.94,235.51,237.66,237.66,183300000.00
18/11/1986,243.2,243.23,236.65,236.78,236.78,185300000.00
17/11/1986,244.5,244.8,242.29,243.21,243.21,133300000.00
14/11/1986,243.01,244.51,241.96,244.5,244.5,172100000.00
13/11/1986,246.63,246.66,242.98,243.02,243.02,164000000.00
12/11/1986,247.06,247.67,245.68,246.64,246.64,162200000.00
11/11/1986,246.15,247.1,246.12,247.08,247.08,118500000.00
10/11/1986,245.75,246.22,244.68,246.13,246.13,120200000.00
07/11/1986,245.85,246.13,244.92,245.77,245.77,142300000.00
06/11/1986,246.54,246.9,244.3,245.87,245.87,165300000.00
05/11/1986,246.09,247.05,245.21,246.58,246.58,183200000.00
04/11/1986,245.8,246.43,244.42,246.2,246.2,163200000.00
03/11/1986,243.97,245.8,243.93,245.8,245.8,138200000.00
31/10/1986,243.7,244.51,242.95,243.98,243.98,147200000.00
30/10/1986,240.97,244.08,240.94,243.71,243.71,194200000.00
29/10/1986,239.23,241,238.98,240.94,240.94,164400000.00
28/10/1986,238.81,240.58,238.77,239.26,239.26,145900000.00
27/10/1986,238.22,238.77,236.72,238.77,238.77,133200000.00
24/10/1986,239.3,239.65,238.25,238.26,238.26,137500000.00
23/10/1986,236.28,239.76,236.26,239.28,239.28,150900000.00
22/10/1986,235.89,236.64,235.82,236.26,236.26,114000000.00
21/10/1986,236.03,236.49,234.95,235.88,235.88,110000000.00
20/10/1986,238.84,238.84,234.78,235.97,235.97,109000000.00
17/10/1986,239.5,239.53,237.71,238.84,238.84,124100000.00
16/10/1986,238.83,240.18,238.8,239.53,239.53,156900000.00
15/10/1986,235.36,239.03,235.27,238.8,238.8,144300000.00
14/10/1986,235.9,236.37,234.37,235.37,235.37,116800000.00
13/10/1986,235.52,235.91,235.02,235.91,235.91,54990000.00
10/10/1986,235.84,236.27,235.31,235.48,235.48,105100000.00
09/10/1986,236.67,238.2,235.72,235.85,235.85,153400000.00
